title,filename,category,subject,id,prompt,negativePrompt,lora
3D Model,20230901202231-3D Model.jpg,Stability's AI,Close-up Portrait,close-up,"professional 3d model very close-up portrait of a young beautiful women, freckles, redhead, amazing eyes, green eyes, perfect eyes . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,20230901202247-Analog Film.jpg,Stability's AI,Close-up Portrait,close-up,"analog film photo very close-up portrait of a young beautiful women, freckles, redhead, amazing eyes, green eyes, perfect eyes . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,20230901202304-Anime (SDXL).jpg,Stability's AI,Close-up Portrait,close-up,"anime artwork very close-up portrait of a young beautiful women, freckles, redhead, amazing eyes, green eyes, perfect eyes . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,20230901202320-Cinematic.jpg,Stability's AI,Close-up Portrait,close-up,"cinematic film still very close-up portrait of a young beautiful women, freckles, redhead, amazing eyes, green eyes, perfect eyes . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,20230901202337-Comic Book.jpg,Stability's AI,Close-up Portrait,close-up,"comic very close-up portrait of a young beautiful women, freckles, redhead, amazing eyes, green eyes, perfect eyes . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,20230901202354-Craft Clay.jpg,Stability's AI,Close-up Portrait,close-up,"play-doh style very close-up portrait of a young beautiful women, freckles, redhead, amazing eyes, green eyes, perfect eyes . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Digital Art,20230901202410-Digital Art.jpg,Stability's AI,Close-up Portrait,close-up,"concept art very close-up portrait of a young beautiful women, freckles, redhead, amazing eyes, green eyes, perfect eyes . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",,""
Enhance,20230901202427-Enhance.jpg,Stability's AI,Close-up Portrait,close-up,"breathtaking very close-up portrait of a young beautiful women, freckles, redhead, amazing eyes, green eyes, perfect eyes . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",,""
Fantasy Art,20230901202444-Fantasy Art.jpg,Stability's AI,Close-up Portrait,close-up,"ethereal fantasy concept art of  very close-up portrait of a young beautiful women, freckles, redhead, amazing eyes, green eyes, perfect eyes . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",,""
Isometric Style,20230901202501-Isometric Style.jpg,Stability's AI,Close-up Portrait,close-up,"isometric style very close-up portrait of a young beautiful women, freckles, redhead, amazing eyes, green eyes, perfect eyes . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",,""
