title,filename,category,subject,id,prompt,negativePrompt,lora
WOW-ifier,00000-WOW-ifier.jpg,Miscellaneous,Vines,vines,"a girl with vines wrapped around her chest, <lora:wowifier-xl:0.8> art by mooncryptowow","",,"WowifierXL"
Zentangle,00001-Zentangle.jpg,Miscellaneous,Vines,vines,"Zentangle a girl with vines wrapped around her chest . Intricate, abstract, monochrome, patterns, meditative, highly detailed","colorful, representative, simplistic, large fields of color",,""
Crayon,00048-Crayon.jpg,Artstyle,Vines,vines,"a girl with vines wrapped around her chest, <lora:crayons-xl:1>","",,"Crayon Style"
Junji Ito,00049-Junji Ito.jpg,Artstyle,Vines,vines,"a girl with vines wrapped around her chest, <lora:ito-style-xl:1>","",,"Junji Ito Style (XL)"
PS1,00050-PS1.jpg,Game,Vines,vines,"a girl with vines wrapped around her chest, <lora:ps1-xl:1> ps1 style","",,"PS1 Graphics SDXL"
Moebius,00114-Moebius.jpg,Artstyle,Vines,vines,"<lora:moebius-xl:1> Moebius (Jean Giraud) Style page, a girl with vines wrapped around her chest","",,"Moebius (Jean Giraud) Style"
Pablo Picasso,00115-Pablo Picasso.jpg,Artstyle,Vines,vines,"<lora:picasso:1> p1c4ss0, a abstract painting of a girl with vines wrapped around her chest, by pablo picasso, Cubism","",,"Pablo Picasso ∞ SD XL 1.0"
Van Gogh,00116-Van Gogh.jpg,Artstyle,Vines,vines,"v0ng44g, p14nt1ng, a painting of a girl with vines wrapped around her chest, by van Gogh <lora:vangogh:1>","",,"VanGoghBrushwork SD XL 1.0"
Fx Monster (Meatsack),00117-Fx Monster (Meatsack).jpg,Miscellaneous,Vines,vines,"a girl with vines wrapped around her chest, <lora:fx-monsters-xl-meatsack:0.7> fx-monsters-xl-meatsack, creature, monster","",,"Fx-Monsters Meatsack"
LEGO BrickHeadz,00118-LEGO BrickHeadz.jpg,Miscellaneous,Vines,vines,"LEGO BrickHeadz, a girl with vines wrapped around her chest, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
LEGO Creator,00119-LEGO Creator.jpg,Miscellaneous,Vines,vines,"LEGO Creator, a girl with vines wrapped around her chest, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
Monochrome Surrealism,00119-Monochrome Surrealism.jpg,Artstyle,Vines,vines,"<lora:Jorg_Karg_Monochrome_Surrealism_SDXL:1> jorg karg, a girl with vines wrapped around her chest","",,"Jorg Karg (Monochrome Surrealism) [SDXL]"
LEGO MiniFig,00120-LEGO MiniFig.jpg,Miscellaneous,Vines,vines,"LEGO MiniFig, a girl with vines wrapped around her chest, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
Psychedelic Noir,00120-Psychedelic Noir.jpg,Artstyle,Vines,vines,"<lora:Psychedelic_Noir__sdxl:1> a girl with vines wrapped around her chest","",,"Psychedelic Noir"
Soviet Poster,00121-Soviet Poster.jpg,Artstyle,Vines,vines,"<lora:Soviet-poster:1> soviet poster, a girl with vines wrapped around her chest","",,"Soviet poster XL"
Fisheye,00122-Fisheye.jpg,Photo,Vines,vines,"(Fisheye-shot photograph:1.3) of a girl with vines wrapped around her chest","ugly, deformed, noisy, blurry, low contrast",,""
Flash,00123-Flash.jpg,Photo,Vines,vines,"<lora:sdxl_darkflash_v6:0.8> very dark focused flash photo, a girl with vines wrapped around her chest","",,"Flash Photo SDXL"
Photo Prism,00124-Photo Prism.jpg,Photo,Vines,vines,"<lora:F8HAUSPRISM:1> lomo artistic starburst filter grainy film photograph portrait of a girl with vines wrapped around her chest, colorful lights, psychedelic, a hologram, holography, monotones, blown out","",,"F0T0PR1ZM XL"
Neon Sign,00125-Neon Sign.jpg,Miscellaneous,Vines,vines,"<lora:PE_NeonSignStyle:0.9> PENeonSign, neon Sign, glowing, colorful, a girl with vines wrapped around her chest","",,"PE Neon Sign [Style]"
Least Details,00608-Add Details XL (Least Details).jpg,No style,Vines,vines,"a girl with vines wrapped around her chest, <lora:add-detail-xl:-3>","",,"Detail Tweaker XL"
Less Details,00609-Add Details XL (Less Details).jpg,No style,Vines,vines,"a girl with vines wrapped around her chest, <lora:add-detail-xl:-1>","",,"Detail Tweaker XL"
More Details,00610-Add Details XL (More Details).jpg,No style,Vines,vines,"a girl with vines wrapped around her chest, <lora:add-detail-xl:1>","",,"Detail Tweaker XL"
Most Details,00611-Add Details XL (Most Details).jpg,No style,Vines,vines,"a girl with vines wrapped around her chest, <lora:add-detail-xl:3>","",,"Detail Tweaker XL"
3D Model,00612-3D Model.jpg,Stability's AI,Vines,vines,"professional 3d model a girl with vines wrapped around her chest . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,00613-Analog Film.jpg,Stability's AI,Vines,vines,"analog film photo a girl with vines wrapped around her chest . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,00614-Anime (SDXL).jpg,Stability's AI,Vines,vines,"anime artwork a girl with vines wrapped around her chest . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,00615-Cinematic.jpg,Stability's AI,Vines,vines,"cinematic film still a girl with vines wrapped around her chest . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,00616-Comic Book.jpg,Stability's AI,Vines,vines,"comic a girl with vines wrapped around her chest . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,00617-Craft Clay.jpg,Stability's AI,Vines,vines,"play-doh style a girl with vines wrapped around her chest . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Digital Art,00618-Digital Art.jpg,Stability's AI,Vines,vines,"concept art a girl with vines wrapped around her chest . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",,""
Enhance,00619-Enhance.jpg,Stability's AI,Vines,vines,"breathtaking a girl with vines wrapped around her chest . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",,""
Fantasy Art,00620-Fantasy Art.jpg,Stability's AI,Vines,vines,"ethereal fantasy concept art of  a girl with vines wrapped around her chest . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",,""
Isometric Style,00621-Isometric Style.jpg,Stability's AI,Vines,vines,"isometric style a girl with vines wrapped around her chest . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",,""
Line Art,00622-Line Art.jpg,Stability's AI,Vines,vines,"line art drawing a girl with vines wrapped around her chest . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic",,""
Lowpoly,00623-Lowpoly.jpg,Stability's AI,Vines,vines,"low-poly style a girl with vines wrapped around her chest . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Neon Punk,00624-Neon Punk.jpg,Stability's AI,Vines,vines,"neonpunk style a girl with vines wrapped around her chest . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
