title,filename,category,subject,id,prompt,negativePrompt,lora
Least Details,00000-Add Details XL (Least Details).jpg,No style,Anubis,egypt,"a Anubis in front of a temple, with desert, <lora:add-detail-xl:-3>","",,"Detail Tweaker XL"
Less Details,00001-Add Details XL (Less Details).jpg,No style,Anubis,egypt,"a Anubis in front of a temple, with desert, <lora:add-detail-xl:-1>","",,"Detail Tweaker XL"
More Details,00002-Add Details XL (More Details).jpg,No style,Anubis,egypt,"a Anubis in front of a temple, with desert, <lora:add-detail-xl:1>","",,"Detail Tweaker XL"
Most Details,00003-Add Details XL (Most Details).jpg,No style,Anubis,egypt,"a Anubis in front of a temple, with desert, <lora:add-detail-xl:3>","",,"Detail Tweaker XL"
3D Model,00004-3D Model.jpg,Stability's AI,Anubis,egypt,"professional 3d model a Anubis in front of a temple, with desert . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,00005-Analog Film.jpg,Stability's AI,Anubis,egypt,"analog film photo a Anubis in front of a temple, with desert . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,00006-Anime (SDXL).jpg,Stability's AI,Anubis,egypt,"anime artwork a Anubis in front of a temple, with desert . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,00007-Cinematic.jpg,Stability's AI,Anubis,egypt,"cinematic film still a Anubis in front of a temple, with desert . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,00008-Comic Book.jpg,Stability's AI,Anubis,egypt,"comic a Anubis in front of a temple, with desert . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,00009-Craft Clay.jpg,Stability's AI,Anubis,egypt,"play-doh style a Anubis in front of a temple, with desert . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Digital Art,00010-Digital Art.jpg,Stability's AI,Anubis,egypt,"concept art a Anubis in front of a temple, with desert . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",,""
Enhance,00011-Enhance.jpg,Stability's AI,Anubis,egypt,"breathtaking a Anubis in front of a temple, with desert . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",,""
Fantasy Art,00012-Fantasy Art.jpg,Stability's AI,Anubis,egypt,"ethereal fantasy concept art of  a Anubis in front of a temple, with desert . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",,""
Isometric Style,00013-Isometric Style.jpg,Stability's AI,Anubis,egypt,"isometric style a Anubis in front of a temple, with desert . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",,""
Line Art,00014-Line Art.jpg,Stability's AI,Anubis,egypt,"line art drawing a Anubis in front of a temple, with desert . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic",,""
Lowpoly,00015-Lowpoly.jpg,Stability's AI,Anubis,egypt,"low-poly style a Anubis in front of a temple, with desert . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Neon Punk,00016-Neon Punk.jpg,Stability's AI,Anubis,egypt,"neonpunk style a Anubis in front of a temple, with desert . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Origami,00017-Origami.jpg,Stability's AI,Anubis,egypt,"origami style a Anubis in front of a temple, with desert . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Photographic,00018-Photographic.jpg,Stability's AI,Anubis,egypt,"cinematic photo a Anubis in front of a temple, with desert . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly",,""
Pixel Art,00019-Pixel Art.jpg,Stability's AI,Anubis,egypt,"pixel-art a Anubis in front of a temple, with desert . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic",,""
