title,filename,category,subject,id,prompt,negativePrompt,lora
3D Model,20230829154901-3D Model.jpg,Stability's AI,Forest River,river,"professional 3d model A river in a forest . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,20230829154920-Analog Film.jpg,Stability's AI,Forest River,river,"analog film photo A river in a forest . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,20230829154936-Anime (SDXL).jpg,Stability's AI,Forest River,river,"anime artwork A river in a forest . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,20230829154953-Cinematic.jpg,Stability's AI,Forest River,river,"cinematic film still A river in a forest . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,20230829155009-Comic Book.jpg,Stability's AI,Forest River,river,"comic A river in a forest . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,20230829155026-Craft Clay.jpg,Stability's AI,Forest River,river,"play-doh style A river in a forest . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Digital Art,20230829155042-Digital Art.jpg,Stability's AI,Forest River,river,"concept art A river in a forest . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",,""
Enhance,20230829155058-Enhance.jpg,Stability's AI,Forest River,river,"breathtaking A river in a forest . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",,""
Fantasy Art,20230829155114-Fantasy Art.jpg,Stability's AI,Forest River,river,"ethereal fantasy concept art of  A river in a forest . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",,""
Isometric Style,20230829155131-Isometric Style.jpg,Stability's AI,Forest River,river,"isometric style A river in a forest . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",,""
