title,filename,category,subject,id,prompt,negativePrompt,lora
Moebius,00009-Moebius.jpg,Artstyle,Norwegian cat,cat,"<lora:moebius-xl:1> Moebius (Jean Giraud) Style page, norwegian forest cat in flowers and grass","",,"Moebius (Jean Giraud) Style"
Pablo Picasso,00010-Pablo Picasso.jpg,Artstyle,Norwegian cat,cat,"<lora:picasso:1> p1c4ss0, a abstract painting of norwegian forest cat in flowers and grass, by pablo picasso, Cubism","",,"Pablo Picasso ∞ SD XL 1.0"
Van Gogh,00011-Van Gogh.jpg,Artstyle,Norwegian cat,cat,"v0ng44g, p14nt1ng, a painting of norwegian forest cat in flowers and grass, by van Gogh <lora:vangogh:1>","",,"VanGoghBrushwork SD XL 1.0"
Fx Monster (Meatsack),00012-Fx Monster (Meatsack).jpg,Miscellaneous,Norwegian cat,cat,"norwegian forest cat in flowers and grass, <lora:fx-monsters-xl-meatsack:0.7> fx-monsters-xl-meatsack, creature, monster","",,"Fx-Monsters Meatsack"
LEGO BrickHeadz,00013-LEGO BrickHeadz.jpg,Miscellaneous,Norwegian cat,cat,"LEGO BrickHeadz, norwegian forest cat in flowers and grass, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
LEGO Creator,00014-LEGO Creator.jpg,Miscellaneous,Norwegian cat,cat,"LEGO Creator, norwegian forest cat in flowers and grass, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
Crayon,00015-Crayon.jpg,Artstyle,Norwegian cat,cat,"norwegian forest cat in flowers and grass, <lora:crayons-xl:1>","",,"Crayon Style"
LEGO MiniFig,00015-LEGO MiniFig.jpg,Miscellaneous,Norwegian cat,cat,"LEGO MiniFig, norwegian forest cat in flowers and grass, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
Junji Ito,00016-Junji Ito.jpg,Artstyle,Norwegian cat,cat,"norwegian forest cat in flowers and grass, <lora:ito-style-xl:1>","",,"Junji Ito Style (XL)"
PS1,00017-PS1.jpg,Game,Norwegian cat,cat,"norwegian forest cat in flowers and grass, <lora:ps1-xl:1> ps1 style","",,"PS1 Graphics SDXL"
Monochrome Surrealism,00021-Monochrome Surrealism.jpg,Artstyle,Norwegian cat,cat,"<lora:Jorg_Karg_Monochrome_Surrealism_SDXL:1> jorg karg, norwegian forest cat in flowers and grass","",,"Jorg Karg (Monochrome Surrealism) [SDXL]"
Psychedelic Noir,00022-Psychedelic Noir.jpg,Artstyle,Norwegian cat,cat,"<lora:Psychedelic_Noir__sdxl:1> norwegian forest cat in flowers and grass","",,"Psychedelic Noir"
Soviet Poster,00023-Soviet Poster.jpg,Artstyle,Norwegian cat,cat,"<lora:Soviet-poster:1> soviet poster, norwegian forest cat in flowers and grass","",,"Soviet poster XL"
Fisheye,00024-Fisheye.jpg,Photo,Norwegian cat,cat,"(Fisheye-shot photograph:1.3) of norwegian forest cat in flowers and grass","ugly, deformed, noisy, blurry, low contrast",,""
Flash,00025-Flash.jpg,Photo,Norwegian cat,cat,"<lora:sdxl_darkflash_v6:0.8> very dark focused flash photo, norwegian forest cat in flowers and grass","",,"Flash Photo SDXL"
Photo Prism,00026-Photo Prism.jpg,Photo,Norwegian cat,cat,"<lora:F8HAUSPRISM:1> lomo artistic starburst filter grainy film photograph portrait of norwegian forest cat in flowers and grass, colorful lights, psychedelic, a hologram, holography, monotones, blown out","",,"F0T0PR1ZM XL"
Neon Sign,00027-Neon Sign.jpg,Miscellaneous,Norwegian cat,cat,"<lora:PE_NeonSignStyle:0.9> PENeonSign, neon Sign, glowing, colorful, norwegian forest cat in flowers and grass","",,"PE Neon Sign [Style]"
3D Model,20230907091520-3D Model.jpg,Stability's AI,Norwegian cat,cat,"professional 3d model norwegian forest cat in flowers and grass . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,20230907091535-Analog Film.jpg,Stability's AI,Norwegian cat,cat,"analog film photo norwegian forest cat in flowers and grass . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,20230907091550-Anime (SDXL).jpg,Stability's AI,Norwegian cat,cat,"anime artwork norwegian forest cat in flowers and grass . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,20230907091605-Cinematic.jpg,Stability's AI,Norwegian cat,cat,"cinematic film still norwegian forest cat in flowers and grass . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,20230907091621-Comic Book.jpg,Stability's AI,Norwegian cat,cat,"comic norwegian forest cat in flowers and grass . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,20230907091636-Craft Clay.jpg,Stability's AI,Norwegian cat,cat,"play-doh style norwegian forest cat in flowers and grass . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
