title,filename,category,subject,id,prompt,negativePrompt,lora
Moebius,00051-Moebius.jpg,Artstyle,Modern House,house,"<lora:moebius-xl:1> Moebius (Jean Giraud) Style page, photo of a small cozy modern house, great view, sunshine","",,"Moebius (Jean Giraud) Style"
Pablo Picasso,00052-Pablo Picasso.jpg,Artstyle,Modern House,house,"<lora:picasso:1> p1c4ss0, a abstract painting of photo of a small cozy modern house, great view, sunshine, by pablo picasso, Cubism","",,"Pablo Picasso ∞ SD XL 1.0"
Van Gogh,00053-Van Gogh.jpg,Artstyle,Modern House,house,"v0ng44g, p14nt1ng, a painting of photo of a small cozy modern house, great view, sunshine, by van Gogh <lora:vangogh:1>","",,"VanGoghBrushwork SD XL 1.0"
Fx Monster (Meatsack),00054-Fx Monster (Meatsack).jpg,Miscellaneous,Modern House,house,"photo of a small cozy modern house, great view, sunshine, <lora:fx-monsters-xl-meatsack:0.7> fx-monsters-xl-meatsack, creature, monster","",,"Fx-Monsters Meatsack"
LEGO BrickHeadz,00055-LEGO BrickHeadz.jpg,Miscellaneous,Modern House,house,"LEGO BrickHeadz, photo of a small cozy modern house, great view, sunshine, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
LEGO Creator,00056-LEGO Creator.jpg,Miscellaneous,Modern House,house,"LEGO Creator, photo of a small cozy modern house, great view, sunshine, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
LEGO MiniFig,00057-LEGO MiniFig.jpg,Miscellaneous,Modern House,house,"LEGO MiniFig, photo of a small cozy modern house, great view, sunshine, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
Monochrome Surrealism,00063-Monochrome Surrealism.jpg,Artstyle,Modern House,house,"<lora:Jorg_Karg_Monochrome_Surrealism_SDXL:1> jorg karg, photo of a small cozy modern house, great view, sunshine","",,"Jorg Karg (Monochrome Surrealism) [SDXL]"
Psychedelic Noir,00064-Psychedelic Noir.jpg,Artstyle,Modern House,house,"<lora:Psychedelic_Noir__sdxl:1> photo of a small cozy modern house, great view, sunshine","",,"Psychedelic Noir"
Soviet Poster,00065-Soviet Poster.jpg,Artstyle,Modern House,house,"<lora:Soviet-poster:1> soviet poster, photo of a small cozy modern house, great view, sunshine","",,"Soviet poster XL"
Fisheye,00066-Fisheye.jpg,Photo,Modern House,house,"(Fisheye-shot photograph:1.3) of photo of a small cozy modern house, great view, sunshine","ugly, deformed, noisy, blurry, low contrast",,""
Flash,00067-Flash.jpg,Photo,Modern House,house,"<lora:sdxl_darkflash_v6:0.8> very dark focused flash photo, photo of a small cozy modern house, great view, sunshine","",,"Flash Photo SDXL"
Photo Prism,00068-Photo Prism.jpg,Photo,Modern House,house,"<lora:F8HAUSPRISM:1> lomo artistic starburst filter grainy film photograph portrait of photo of a small cozy modern house, great view, sunshine, colorful lights, psychedelic, a hologram, holography, monotones, blown out","",,"F0T0PR1ZM XL"
Neon Sign,00069-Neon Sign.jpg,Miscellaneous,Modern House,house,"<lora:PE_NeonSignStyle:0.9> PENeonSign, neon Sign, glowing, colorful, photo of a small cozy modern house, great view, sunshine","",,"PE Neon Sign [Style]"
3D Model,20230829121019-3D Model.jpg,Stability's AI,Modern House,house,"professional 3d model photo of a small cozy modern house, great view, sunshine . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,20230829121034-Analog Film.jpg,Stability's AI,Modern House,house,"analog film photo photo of a small cozy modern house, great view, sunshine . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,20230829121050-Anime (SDXL).jpg,Stability's AI,Modern House,house,"anime artwork photo of a small cozy modern house, great view, sunshine . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,20230829121106-Cinematic.jpg,Stability's AI,Modern House,house,"cinematic film still photo of a small cozy modern house, great view, sunshine . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,20230829121121-Comic Book.jpg,Stability's AI,Modern House,house,"comic photo of a small cozy modern house, great view, sunshine . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,20230829121137-Craft Clay.jpg,Stability's AI,Modern House,house,"play-doh style photo of a small cozy modern house, great view, sunshine . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Digital Art,20230829121153-Digital Art.jpg,Stability's AI,Modern House,house,"concept art photo of a small cozy modern house, great view, sunshine . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",,""
Enhance,20230829121209-Enhance.jpg,Stability's AI,Modern House,house,"breathtaking photo of a small cozy modern house, great view, sunshine . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",,""
Fantasy Art,20230829121224-Fantasy Art.jpg,Stability's AI,Modern House,house,"ethereal fantasy concept art of  photo of a small cozy modern house, great view, sunshine . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",,""
Isometric Style,20230829121240-Isometric Style.jpg,Stability's AI,Modern House,house,"isometric style photo of a small cozy modern house, great view, sunshine . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",,""
Line Art,20230829121256-Line Art.jpg,Stability's AI,Modern House,house,"line art drawing photo of a small cozy modern house, great view, sunshine . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic",,""
Lowpoly,20230829121312-Lowpoly.jpg,Stability's AI,Modern House,house,"low-poly style photo of a small cozy modern house, great view, sunshine . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Neon Punk,20230829121328-Neon Punk.jpg,Stability's AI,Modern House,house,"neonpunk style photo of a small cozy modern house, great view, sunshine . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Origami,20230829121344-Origami.jpg,Stability's AI,Modern House,house,"origami style photo of a small cozy modern house, great view, sunshine . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Photographic,20230829121400-Photographic.jpg,Stability's AI,Modern House,house,"cinematic photo photo of a small cozy modern house, great view, sunshine . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly",,""
Pixel Art,20230829121417-Pixel Art.jpg,Stability's AI,Modern House,house,"pixel-art photo of a small cozy modern house, great view, sunshine . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic",,""
Texture,20230829121435-Texture.jpg,Stability's AI,Modern House,house,"texture photo of a small cozy modern house, great view, sunshine top down close-up","ugly, deformed, noisy, blurry",,""
Advertising,20230829121452-Advertising.jpg,Ads,Modern House,house,"Advertising poster style photo of a small cozy modern house, great view, sunshine . Professional, modern, product-focused, commercial, eye-catching, highly detailed","noisy, blurry, amateurish, sloppy, unattractive",,""
Food Photography,20230829121509-Food Photography.jpg,Ads,Modern House,house,"Food photography style photo of a small cozy modern house, great view, sunshine . Appetizing, professional, culinary, high-resolution, commercial, highly detailed","unappetizing, sloppy, unprofessional, noisy, blurry",,""
Real Estate,20230829121526-Real Estate.jpg,Ads,Modern House,house,"Real estate photography style photo of a small cozy modern house, great view, sunshine . Professional, inviting, well-lit, high-resolution, property-focused, commercial, highly detailed","dark, blurry, unappealing, noisy, unprofessional",,""
Abstract,20230829121542-Abstract.jpg,Artstyle,Modern House,house,"Abstract style photo of a small cozy modern house, great view, sunshine . Non-representational, colors and shapes, expression of feelings, imaginative, highly detailed","realistic, photographic, figurative, concrete",,""
Cubist,20230829121559-Cubist.jpg,Artstyle,Modern House,house,"Cubist artwork photo of a small cozy modern house, great view, sunshine . Geometric shapes, abstract, innovative, revolutionary","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
Graffiti,20230829121616-Graffiti.jpg,Artstyle,Modern House,house,"Graffiti style photo of a small cozy modern house, great view, sunshine . Street art, vibrant, urban, detailed, tag, mural","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic",,""
Hyperrealism,20230829121632-Hyperrealism.jpg,Artstyle,Modern House,house,"Hyperrealistic art photo of a small cozy modern house, great view, sunshine . Extremely high-resolution details, photographic, realism pushed to extreme, fine texture, incredibly lifelike","simplified, abstract, unrealistic, impressionistic, low resolution",,""
Impressionist,20230829121648-Impressionist.jpg,Artstyle,Modern House,house,"Impressionist painting photo of a small cozy modern house, great view, sunshine . Loose brushwork, vibrant color, light and shadow play, captures feeling over form","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
Pointillism,20230829121704-Pointillism.jpg,Artstyle,Modern House,house,"Pointillism style photo of a small cozy modern house, great view, sunshine . Composed entirely of small, distinct dots of color, vibrant, highly detailed","line drawing, smooth shading, large color fields, simplistic",,""
Pop Art,20230829121721-Pop Art.jpg,Artstyle,Modern House,house,"Pop Art style photo of a small cozy modern house, great view, sunshine . Bright colors, bold outlines, popular culture themes, ironic or kitsch","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, minimalist",,""
Psychedelic,20230829121738-Psychedelic.jpg,Artstyle,Modern House,house,"Psychedelic style photo of a small cozy modern house, great view, sunshine . Vibrant colors, swirling patterns, abstract forms, surreal, trippy","monochrome, black and white, low contrast, realistic, photorealistic, plain, simple",,""
Renaissance,20230829121756-Renaissance.jpg,Artstyle,Modern House,house,"Renaissance style photo of a small cozy modern house, great view, sunshine . Realistic, perspective, light and shadow, religious or mythological themes, highly detailed","ugly, deformed, noisy, blurry, low contrast, modernist, minimalist, abstract",,""
Steampunk,20230829121813-Steampunk.jpg,Artstyle,Modern House,house,"Steampunk style photo of a small cozy modern house, great view, sunshine . Antique, mechanical, brass and copper tones, gears, intricate, detailed","deformed, glitch, noisy, low contrast, anime, photorealistic",,""
Surrealist,20230829121830-Surrealist.jpg,Artstyle,Modern House,house,"Surrealist art photo of a small cozy modern house, great view, sunshine . Dreamlike, mysterious, provocative, symbolic, intricate, detailed","anime, photorealistic, realistic, deformed, glitch, noisy, low contrast",,""
Typography,20230829121847-Typography.jpg,Artstyle,Modern House,house,"Typographic art photo of a small cozy modern house, great view, sunshine . Stylized, intricate, detailed, artistic, text-based","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic",,""
Watercolor,20230829121903-Watercolor.jpg,Artstyle,Modern House,house,"Watercolor painting photo of a small cozy modern house, great view, sunshine . Vibrant, beautiful, painterly, detailed, textural, artistic","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
Fighting Game,20230829121920-Fighting Game.jpg,Game,Modern House,house,"Fighting game style photo of a small cozy modern house, great view, sunshine . Dynamic, vibrant, action-packed, detailed character design, reminiscent of fighting video games","peaceful, calm, minimalist, photorealistic",,""
GTA,20230829121939-GTA.jpg,Game,Modern House,house,"GTA-style artwork photo of a small cozy modern house, great view, sunshine . Satirical, exaggerated, pop art style, vibrant colors, iconic characters, action-packed","realistic, black and white, low contrast, impressionist, cubist, noisy, blurry, deformed",,""
Super Mario,20230829121955-Super Mario.jpg,Game,Modern House,house,"Super Mario style photo of a small cozy modern house, great view, sunshine . Vibrant, cute, cartoony, fantasy, playful, reminiscent of Super Mario series","realistic, modern, horror, dystopian, violent",,""
Minecraft,20230829122011-Minecraft.jpg,Game,Modern House,house,"Minecraft style photo of a small cozy modern house, great view, sunshine . Blocky, pixelated, vibrant colors, recognizable characters and objects, game assets","smooth, realistic, detailed, photorealistic, noise, blurry, deformed",,""
Pokémon,20230829122028-Pokémon.jpg,Game,Modern House,house,"Pokémon style photo of a small cozy modern house, great view, sunshine . Vibrant, cute, anime, fantasy, reminiscent of Pokémon series","realistic, modern, horror, dystopian, violent",,""
Retro Arcade,20230829122045-Retro Arcade.jpg,Game,Modern House,house,"Retro arcade style photo of a small cozy modern house, great view, sunshine . 8-bit, pixelated, vibrant, classic video game, old school gaming, reminiscent of 80s and 90s arcade games","modern, ultra-high resolution, photorealistic, 3D",,""
Retro Game,20230829122102-Retro Game.jpg,Game,Modern House,house,"Retro game art photo of a small cozy modern house, great view, sunshine . 16-bit, vibrant colors, pixelated, nostalgic, charming, fun","realistic, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
RPG Fantasy Game,20230829122118-RPG Fantasy Game.jpg,Game,Modern House,house,"Role-playing game (RPG) style fantasy photo of a small cozy modern house, great view, sunshine . Detailed, vibrant, immersive, reminiscent of high fantasy RPG games","sci-fi, modern, urban, futuristic, low detailed",,""
Strategy Game,20230829122135-Strategy Game.jpg,Game,Modern House,house,"Strategy game style photo of a small cozy modern house, great view, sunshine . Overhead view, detailed map, units, reminiscent of real-time strategy video games","first-person view, modern, photorealistic",,""
