title,filename,category,subject,id,prompt,negativePrompt,lora
3D Model,20230906205931-3D Model.jpg,Stability's AI,A Witch,witch,"professional 3d model sorceress casting spells . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,20230906205947-Analog Film.jpg,Stability's AI,A Witch,witch,"analog film photo sorceress casting spells . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,20230906210002-Anime (SDXL).jpg,Stability's AI,A Witch,witch,"anime artwork sorceress casting spells . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,20230906210018-Cinematic.jpg,Stability's AI,A Witch,witch,"cinematic film still sorceress casting spells . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,20230906210033-Comic Book.jpg,Stability's AI,A Witch,witch,"comic sorceress casting spells . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,20230906210048-Craft Clay.jpg,Stability's AI,A Witch,witch,"play-doh style sorceress casting spells . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Digital Art,20230906210103-Digital Art.jpg,Stability's AI,A Witch,witch,"concept art sorceress casting spells . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",,""
Enhance,20230906210119-Enhance.jpg,Stability's AI,A Witch,witch,"breathtaking sorceress casting spells . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",,""
Fantasy Art,20230906210134-Fantasy Art.jpg,Stability's AI,A Witch,witch,"ethereal fantasy concept art of  sorceress casting spells . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",,""
Isometric Style,20230906210150-Isometric Style.jpg,Stability's AI,A Witch,witch,"isometric style sorceress casting spells . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",,""
Line Art,20230906210205-Line Art.jpg,Stability's AI,A Witch,witch,"line art drawing sorceress casting spells . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic",,""
Lowpoly,20230906210220-Lowpoly.jpg,Stability's AI,A Witch,witch,"low-poly style sorceress casting spells . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Neon Punk,20230906210235-Neon Punk.jpg,Stability's AI,A Witch,witch,"neonpunk style sorceress casting spells . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Origami,20230906210250-Origami.jpg,Stability's AI,A Witch,witch,"origami style sorceress casting spells . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Photographic,20230906210305-Photographic.jpg,Stability's AI,A Witch,witch,"cinematic photo sorceress casting spells . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly",,""
Pixel Art,20230906210320-Pixel Art.jpg,Stability's AI,A Witch,witch,"pixel-art sorceress casting spells . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic",,""
Texture,20230906210336-Texture.jpg,Stability's AI,A Witch,witch,"texture sorceress casting spells top down close-up","ugly, deformed, noisy, blurry",,""
John Berkey,20230906213813-John Berkey.jpg,Artstyle,A Witch,witch,"sorceress casting spells, <lora:John Berkey Style:1> John Berkey Style page","",,"John Berkey Style"
Folk Art,20230906213833-Folk Art.jpg,Artstyle,A Witch,witch,"sorceress casting spells, <lora:Folk Art:1> Folk Art page","",,"Folk Art"
Terrible FanArt,20230906213852-Terrible FanArt.jpg,Artstyle,A Witch,witch,"<lora:PE_TerribleFanArtV1:0.8> PETerribleFanArt, badly drawn, terrible drawing, ugly, creepy, sorceress casting spells","",,"PE Shitty FanArt"
Dali,20230906213919-Dali.jpg,Artstyle,A Witch,witch,"sorceress casting spells, <lora:d4lixl:1> d4lixl","",,"Salvador Dali SDXL 1.0 art style lora"
Least Details,20230908141023-Add Details XL (Least Details).jpg,No style,A Witch,witch,"sorceress casting spells, <lora:add-detail-xl:-3>","",,"Detail Tweaker XL"
Less Details,20230908141039-Add Details XL (Less Details).jpg,No style,A Witch,witch,"sorceress casting spells, <lora:add-detail-xl:-1>","",,"Detail Tweaker XL"
More Details,20230908141055-Add Details XL (More Details).jpg,No style,A Witch,witch,"sorceress casting spells, <lora:add-detail-xl:1>","",,"Detail Tweaker XL"
Most Details,20230908141111-Add Details XL (Most Details).jpg,No style,A Witch,witch,"sorceress casting spells, <lora:add-detail-xl:3>","",,"Detail Tweaker XL"
Advertising,20230908141127-Advertising.jpg,Ads,A Witch,witch,"Advertising poster style sorceress casting spells . Professional, modern, product-focused, commercial, eye-catching, highly detailed","noisy, blurry, amateurish, sloppy, unattractive",,""
Automotive,20230908141142-Automotive.jpg,Ads,A Witch,witch,"Automotive advertisement style sorceress casting spells . Sleek, dynamic, professional, commercial, vehicle-focused, high-resolution, highly detailed","noisy, blurry, unattractive, sloppy, unprofessional",,""
Corporate,20230908141157-Corporate.jpg,Ads,A Witch,witch,"Corporate branding style sorceress casting spells . Professional, clean, modern, sleek, minimalist, business-oriented, highly detailed","noisy, blurry, grungy, sloppy, cluttered, disorganized",,""
Fashion,20230908141212-Fashion.jpg,Ads,A Witch,witch,"Fashion editorial style sorceress casting spells . High fashion, trendy, stylish, editorial, magazine style, professional, highly detailed","outdated, blurry, noisy, unattractive, sloppy",,""
Food Photography,20230908141228-Food Photography.jpg,Ads,A Witch,witch,"Food photography style sorceress casting spells . Appetizing, professional, culinary, high-resolution, commercial, highly detailed","unappetizing, sloppy, unprofessional, noisy, blurry",,""
Luxury,20230908141243-Luxury.jpg,Ads,A Witch,witch,"Luxury product style sorceress casting spells . Elegant, sophisticated, high-end, luxurious, professional, highly detailed","cheap, noisy, blurry, unattractive, amateurish",,""
Real Estate,20230908141258-Real Estate.jpg,Ads,A Witch,witch,"Real estate photography style sorceress casting spells . Professional, inviting, well-lit, high-resolution, property-focused, commercial, highly detailed","dark, blurry, unappealing, noisy, unprofessional",,""
Retail,20230908141314-Retail.jpg,Ads,A Witch,witch,"Retail packaging style sorceress casting spells . Vibrant, enticing, commercial, product-focused, eye-catching, professional, highly detailed","noisy, blurry, amateurish, sloppy, unattractive",,""
Abstract,20230908141329-Abstract.jpg,Artstyle,A Witch,witch,"Abstract style sorceress casting spells . Non-representational, colors and shapes, expression of feelings, imaginative, highly detailed","realistic, photographic, figurative, concrete",,""
