title,filename,category,subject,id,prompt,negativePrompt,lora
Moebius,00065-Moebius.jpg,Artstyle,Nude Women,nude-women,"<lora:moebius-xl:1> Moebius (Jean Giraud) Style page, a nude woman with her back to me, looking out of a window, in the half-light, half-body shot","",,"Moebius (Jean Giraud) Style"
Pablo Picasso,00066-Pablo Picasso.jpg,Artstyle,Nude Women,nude-women,"<lora:picasso:1> p1c4ss0, a abstract painting of a nude woman with her back to me, looking out of a window, in the half-light, half-body shot, by pablo picasso, Cubism","",,"Pablo Picasso ∞ SD XL 1.0"
Van Gogh,00067-Van Gogh.jpg,Artstyle,Nude Women,nude-women,"v0ng44g, p14nt1ng, a painting of a nude woman with her back to me, looking out of a window, in the half-light, half-body shot, by van Gogh <lora:vangogh:1>","",,"VanGoghBrushwork SD XL 1.0"
Fx Monster (Meatsack),00068-Fx Monster (Meatsack).jpg,Miscellaneous,Nude Women,nude-women,"a nude woman with her back to me, looking out of a window, in the half-light, half-body shot, <lora:fx-monsters-xl-meatsack:0.7> fx-monsters-xl-meatsack, creature, monster","",,"Fx-Monsters Meatsack"
LEGO BrickHeadz,00069-LEGO BrickHeadz.jpg,Miscellaneous,Nude Women,nude-women,"LEGO BrickHeadz, a nude woman with her back to me, looking out of a window, in the half-light, half-body shot, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
LEGO Creator,00070-LEGO Creator.jpg,Miscellaneous,Nude Women,nude-women,"LEGO Creator, a nude woman with her back to me, looking out of a window, in the half-light, half-body shot, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
LEGO MiniFig,00071-LEGO MiniFig.jpg,Miscellaneous,Nude Women,nude-women,"LEGO MiniFig, a nude woman with her back to me, looking out of a window, in the half-light, half-body shot, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
Monochrome Surrealism,00077-Monochrome Surrealism.jpg,Artstyle,Nude Women,nude-women,"<lora:Jorg_Karg_Monochrome_Surrealism_SDXL:1> jorg karg, a nude woman with her back to me, looking out of a window, in the half-light, half-body shot","",,"Jorg Karg (Monochrome Surrealism) [SDXL]"
Psychedelic Noir,00078-Psychedelic Noir.jpg,Artstyle,Nude Women,nude-women,"<lora:Psychedelic_Noir__sdxl:1> a nude woman with her back to me, looking out of a window, in the half-light, half-body shot","",,"Psychedelic Noir"
Soviet Poster,00079-Soviet Poster.jpg,Artstyle,Nude Women,nude-women,"<lora:Soviet-poster:1> soviet poster, a nude woman with her back to me, looking out of a window, in the half-light, half-body shot","",,"Soviet poster XL"
Fisheye,00080-Fisheye.jpg,Photo,Nude Women,nude-women,"(Fisheye-shot photograph:1.3) of a nude woman with her back to me, looking out of a window, in the half-light, half-body shot","ugly, deformed, noisy, blurry, low contrast",,""
Flash,00081-Flash.jpg,Photo,Nude Women,nude-women,"<lora:sdxl_darkflash_v6:0.8> very dark focused flash photo, a nude woman with her back to me, looking out of a window, in the half-light, half-body shot","",,"Flash Photo SDXL"
Photo Prism,00082-Photo Prism.jpg,Photo,Nude Women,nude-women,"<lora:F8HAUSPRISM:1> lomo artistic starburst filter grainy film photograph portrait of a nude woman with her back to me, looking out of a window, in the half-light, half-body shot, colorful lights, psychedelic, a hologram, holography, monotones, blown out","",,"F0T0PR1ZM XL"
Neon Sign,00083-Neon Sign.jpg,Miscellaneous,Nude Women,nude-women,"<lora:PE_NeonSignStyle:0.9> PENeonSign, neon Sign, glowing, colorful, a nude woman with her back to me, looking out of a window, in the half-light, half-body shot","",,"PE Neon Sign [Style]"
3D Model,20230829102120-3D Model.jpg,Stability's AI,Nude Women,nude-women,"professional 3d model a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,20230829102136-Analog Film.jpg,Stability's AI,Nude Women,nude-women,"analog film photo a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,20230829102153-Anime (SDXL).jpg,Stability's AI,Nude Women,nude-women,"anime artwork a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,20230829102209-Cinematic.jpg,Stability's AI,Nude Women,nude-women,"cinematic film still a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,20230829102226-Comic Book.jpg,Stability's AI,Nude Women,nude-women,"comic a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,20230829102243-Craft Clay.jpg,Stability's AI,Nude Women,nude-women,"play-doh style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Digital Art,20230829102300-Digital Art.jpg,Stability's AI,Nude Women,nude-women,"concept art a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",,""
Enhance,20230829102317-Enhance.jpg,Stability's AI,Nude Women,nude-women,"breathtaking a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",,""
Fantasy Art,20230829102333-Fantasy Art.jpg,Stability's AI,Nude Women,nude-women,"ethereal fantasy concept art of  a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",,""
Isometric Style,20230829102350-Isometric Style.jpg,Stability's AI,Nude Women,nude-women,"isometric style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",,""
Line Art,20230829102407-Line Art.jpg,Stability's AI,Nude Women,nude-women,"line art drawing a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic",,""
Lowpoly,20230829102424-Lowpoly.jpg,Stability's AI,Nude Women,nude-women,"low-poly style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Neon Punk,20230829102441-Neon Punk.jpg,Stability's AI,Nude Women,nude-women,"neonpunk style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Origami,20230829102457-Origami.jpg,Stability's AI,Nude Women,nude-women,"origami style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Photographic,20230829102514-Photographic.jpg,Stability's AI,Nude Women,nude-women,"cinematic photo a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly",,""
Pixel Art,20230829102530-Pixel Art.jpg,Stability's AI,Nude Women,nude-women,"pixel-art a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic",,""
Texture,20230829102546-Texture.jpg,Stability's AI,Nude Women,nude-women,"texture a nude woman with her back to me, looking out of a window, in the half-light, half-body shot top down close-up","ugly, deformed, noisy, blurry",,""
Advertising,20230829102603-Advertising.jpg,Ads,Nude Women,nude-women,"Advertising poster style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Professional, modern, product-focused, commercial, eye-catching, highly detailed","noisy, blurry, amateurish, sloppy, unattractive",,""
Food Photography,20230829102620-Food Photography.jpg,Ads,Nude Women,nude-women,"Food photography style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Appetizing, professional, culinary, high-resolution, commercial, highly detailed","unappetizing, sloppy, unprofessional, noisy, blurry",,""
Real Estate,20230829102637-Real Estate.jpg,Ads,Nude Women,nude-women,"Real estate photography style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Professional, inviting, well-lit, high-resolution, property-focused, commercial, highly detailed","dark, blurry, unappealing, noisy, unprofessional",,""
Abstract,20230829102654-Abstract.jpg,Artstyle,Nude Women,nude-women,"Abstract style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Non-representational, colors and shapes, expression of feelings, imaginative, highly detailed","realistic, photographic, figurative, concrete",,""
Cubist,20230829102711-Cubist.jpg,Artstyle,Nude Women,nude-women,"Cubist artwork a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Geometric shapes, abstract, innovative, revolutionary","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
Graffiti,20230829102728-Graffiti.jpg,Artstyle,Nude Women,nude-women,"Graffiti style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Street art, vibrant, urban, detailed, tag, mural","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic",,""
Hyperrealism,20230829102746-Hyperrealism.jpg,Artstyle,Nude Women,nude-women,"Hyperrealistic art a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Extremely high-resolution details, photographic, realism pushed to extreme, fine texture, incredibly lifelike","simplified, abstract, unrealistic, impressionistic, low resolution",,""
Impressionist,20230829102802-Impressionist.jpg,Artstyle,Nude Women,nude-women,"Impressionist painting a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Loose brushwork, vibrant color, light and shadow play, captures feeling over form","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
Pointillism,20230829102818-Pointillism.jpg,Artstyle,Nude Women,nude-women,"Pointillism style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Composed entirely of small, distinct dots of color, vibrant, highly detailed","line drawing, smooth shading, large color fields, simplistic",,""
Pop Art,20230829102834-Pop Art.jpg,Artstyle,Nude Women,nude-women,"Pop Art style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Bright colors, bold outlines, popular culture themes, ironic or kitsch","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, minimalist",,""
Psychedelic,20230829102851-Psychedelic.jpg,Artstyle,Nude Women,nude-women,"Psychedelic style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Vibrant colors, swirling patterns, abstract forms, surreal, trippy","monochrome, black and white, low contrast, realistic, photorealistic, plain, simple",,""
Renaissance,20230829102908-Renaissance.jpg,Artstyle,Nude Women,nude-women,"Renaissance style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Realistic, perspective, light and shadow, religious or mythological themes, highly detailed","ugly, deformed, noisy, blurry, low contrast, modernist, minimalist, abstract",,""
Steampunk,20230829102925-Steampunk.jpg,Artstyle,Nude Women,nude-women,"Steampunk style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Antique, mechanical, brass and copper tones, gears, intricate, detailed","deformed, glitch, noisy, low contrast, anime, photorealistic",,""
Surrealist,20230829102942-Surrealist.jpg,Artstyle,Nude Women,nude-women,"Surrealist art a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Dreamlike, mysterious, provocative, symbolic, intricate, detailed","anime, photorealistic, realistic, deformed, glitch, noisy, low contrast",,""
Typography,20230829102959-Typography.jpg,Artstyle,Nude Women,nude-women,"Typographic art a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Stylized, intricate, detailed, artistic, text-based","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic",,""
Watercolor,20230829103016-Watercolor.jpg,Artstyle,Nude Women,nude-women,"Watercolor painting a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Vibrant, beautiful, painterly, detailed, textural, artistic","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
Fighting Game,20230829103033-Fighting Game.jpg,Game,Nude Women,nude-women,"Fighting game style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Dynamic, vibrant, action-packed, detailed character design, reminiscent of fighting video games","peaceful, calm, minimalist, photorealistic",,""
GTA,20230829103050-GTA.jpg,Game,Nude Women,nude-women,"GTA-style artwork a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Satirical, exaggerated, pop art style, vibrant colors, iconic characters, action-packed","realistic, black and white, low contrast, impressionist, cubist, noisy, blurry, deformed",,""
Super Mario,20230829103106-Super Mario.jpg,Game,Nude Women,nude-women,"Super Mario style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Vibrant, cute, cartoony, fantasy, playful, reminiscent of Super Mario series","realistic, modern, horror, dystopian, violent",,""
Minecraft,20230829103123-Minecraft.jpg,Game,Nude Women,nude-women,"Minecraft style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Blocky, pixelated, vibrant colors, recognizable characters and objects, game assets","smooth, realistic, detailed, photorealistic, noise, blurry, deformed",,""
Pokémon,20230829103139-Pokémon.jpg,Game,Nude Women,nude-women,"Pokémon style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Vibrant, cute, anime, fantasy, reminiscent of Pokémon series","realistic, modern, horror, dystopian, violent",,""
Retro Arcade,20230829103155-Retro Arcade.jpg,Game,Nude Women,nude-women,"Retro arcade style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . 8-bit, pixelated, vibrant, classic video game, old school gaming, reminiscent of 80s and 90s arcade games","modern, ultra-high resolution, photorealistic, 3D",,""
Retro Game,20230829103211-Retro Game.jpg,Game,Nude Women,nude-women,"Retro game art a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . 16-bit, vibrant colors, pixelated, nostalgic, charming, fun","realistic, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
RPG Fantasy Game,20230829103227-RPG Fantasy Game.jpg,Game,Nude Women,nude-women,"Role-playing game (RPG) style fantasy a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Detailed, vibrant, immersive, reminiscent of high fantasy RPG games","sci-fi, modern, urban, futuristic, low detailed",,""
Strategy Game,20230829103243-Strategy Game.jpg,Game,Nude Women,nude-women,"Strategy game style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Overhead view, detailed map, units, reminiscent of real-time strategy video games","first-person view, modern, photorealistic",,""
Street Fighter,20230829103259-Street Fighter.jpg,Game,Nude Women,nude-women,"Street Fighter style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Vibrant, dynamic, arcade, 2D fighting game, highly detailed, reminiscent of Street Fighter series","3D, realistic, modern, photorealistic, turn-based strategy",,""
Legend of Zelda,20230829103315-Legend of Zelda.jpg,Game,Nude Women,nude-women,"Legend of Zelda style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Vibrant, fantasy, detailed, epic, heroic, reminiscent of The Legend of Zelda series","sci-fi, modern, realistic, horror",,""
Architectural,20230829103330-Architectural.jpg,Miscellaneous,Nude Women,nude-women,"Architectural style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Clean lines, geometric shapes, minimalist, modern, architectural drawing, highly detailed","curved lines, ornate, baroque, abstract, grunge",,""
Disco,20230829103346-Disco.jpg,Miscellaneous,Nude Women,nude-women,"Disco-themed a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Vibrant, groovy, retro 70s style, shiny disco balls, neon lights, dance floor, highly detailed","minimalist, rustic, monochrome, contemporary, simplistic",,""
Dreamscape,20230829103402-Dreamscape.jpg,Miscellaneous,Nude Women,nude-women,"Dreamscape a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Surreal, ethereal, dreamy, mysterious, fantasy, highly detailed","realistic, concrete, ordinary, mundane",,""
Dystopian,20230829103418-Dystopian.jpg,Miscellaneous,Nude Women,nude-women,"Dystopian style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Bleak, post-apocalyptic, somber, dramatic, highly detailed","ugly, deformed, noisy, blurry, low contrast, cheerful, optimistic, vibrant, colorful",,""
Fairy Tale,20230829103433-Fairy Tale.jpg,Miscellaneous,Nude Women,nude-women,"Fairy tale a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Magical, fantastical, enchanting, storybook style, highly detailed","realistic, modern, ordinary, mundane",,""
Gothic,20230829103449-Gothic.jpg,Miscellaneous,Nude Women,nude-women,"Gothic style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Dark, mysterious, haunting, dramatic, ornate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, cheerful, optimistic",,""
Grunge,20230829103505-Grunge.jpg,Miscellaneous,Nude Women,nude-women,"Grunge style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Textured, distressed, vintage, edgy, punk rock vibe, dirty, noisy","smooth, clean, minimalist, sleek, modern, photorealistic",,""
Horror,20230829103521-Horror.jpg,Miscellaneous,Nude Women,nude-women,"Horror-themed a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Eerie, unsettling, dark, spooky, suspenseful, grim, highly detailed","cheerful, bright, vibrant, light-hearted, cute",,""
Minimalist,20230829103537-Minimalist.jpg,Miscellaneous,Nude Women,nude-women,"Minimalist style a nude woman with her back to me, looking out of a window, in the half-light, half-body shot . Simple, clean, uncluttered, modern, elegant","ornate, complicated, highly detailed, cluttered, disordered, messy, noisy",,""
