title,filename,category,subject,id,prompt,negativePrompt,lora
3D Model,20230906211236-3D Model.jpg,Stability's AI,Astronaut,astronaut,"professional 3d model selfie photograph of astronaut floating in space, earth in the background . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,20230906211251-Analog Film.jpg,Stability's AI,Astronaut,astronaut,"analog film photo selfie photograph of astronaut floating in space, earth in the background . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,20230906211307-Anime (SDXL).jpg,Stability's AI,Astronaut,astronaut,"anime artwork selfie photograph of astronaut floating in space, earth in the background . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,20230906211323-Cinematic.jpg,Stability's AI,Astronaut,astronaut,"cinematic film still selfie photograph of astronaut floating in space, earth in the background . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,20230906211339-Comic Book.jpg,Stability's AI,Astronaut,astronaut,"comic selfie photograph of astronaut floating in space, earth in the background . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,20230906211355-Craft Clay.jpg,Stability's AI,Astronaut,astronaut,"play-doh style selfie photograph of astronaut floating in space, earth in the background . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Digital Art,20230906211410-Digital Art.jpg,Stability's AI,Astronaut,astronaut,"concept art selfie photograph of astronaut floating in space, earth in the background . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",,""
Enhance,20230906211425-Enhance.jpg,Stability's AI,Astronaut,astronaut,"breathtaking selfie photograph of astronaut floating in space, earth in the background . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",,""
Fantasy Art,20230906211442-Fantasy Art.jpg,Stability's AI,Astronaut,astronaut,"ethereal fantasy concept art of  selfie photograph of astronaut floating in space, earth in the background . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",,""
Isometric Style,20230906211457-Isometric Style.jpg,Stability's AI,Astronaut,astronaut,"isometric style selfie photograph of astronaut floating in space, earth in the background . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",,""
Line Art,20230906211513-Line Art.jpg,Stability's AI,Astronaut,astronaut,"line art drawing selfie photograph of astronaut floating in space, earth in the background . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic",,""
Lowpoly,20230906211528-Lowpoly.jpg,Stability's AI,Astronaut,astronaut,"low-poly style selfie photograph of astronaut floating in space, earth in the background . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Neon Punk,20230906211543-Neon Punk.jpg,Stability's AI,Astronaut,astronaut,"neonpunk style selfie photograph of astronaut floating in space, earth in the background . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Origami,20230906211559-Origami.jpg,Stability's AI,Astronaut,astronaut,"origami style selfie photograph of astronaut floating in space, earth in the background . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Photographic,20230906211614-Photographic.jpg,Stability's AI,Astronaut,astronaut,"cinematic photo selfie photograph of astronaut floating in space, earth in the background . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly",,""
Pixel Art,20230906211630-Pixel Art.jpg,Stability's AI,Astronaut,astronaut,"pixel-art selfie photograph of astronaut floating in space, earth in the background . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic",,""
Texture,20230906211645-Texture.jpg,Stability's AI,Astronaut,astronaut,"texture selfie photograph of astronaut floating in space, earth in the background top down close-up","ugly, deformed, noisy, blurry",,""
John Berkey,20230906214230-John Berkey.jpg,Artstyle,Astronaut,astronaut,"selfie photograph of astronaut floating in space, earth in the background, <lora:John Berkey Style:1> John Berkey Style page","",,"John Berkey Style"
Folk Art,20230906214251-Folk Art.jpg,Artstyle,Astronaut,astronaut,"selfie photograph of astronaut floating in space, earth in the background, <lora:Folk Art:1> Folk Art page","",,"Folk Art"
Terrible FanArt,20230906214311-Terrible FanArt.jpg,Artstyle,Astronaut,astronaut,"<lora:PE_TerribleFanArtV1:0.8> PETerribleFanArt, badly drawn, terrible drawing, ugly, creepy, selfie photograph of astronaut floating in space, earth in the background","",,"PE Shitty FanArt"
Dali,20230906214338-Dali.jpg,Artstyle,Astronaut,astronaut,"selfie photograph of astronaut floating in space, earth in the background, <lora:d4lixl:1> d4lixl","",,"Salvador Dali SDXL 1.0 art style lora"
Least Details,20230908111249-Add Details XL (Least Details).jpg,No style,Astronaut,astronaut,"selfie photograph of astronaut floating in space, earth in the background, <lora:add-detail-xl:-3>","",,"Detail Tweaker XL"
