title,filename,category,subject,id,prompt,negativePrompt,lora
Crayon,00027-Crayon.jpg,Artstyle,Fallout Wasteland,fallout,"a femal warrior in dystopian postapocalyptic fallout wasteland, <lora:crayons-xl:1>","",,"Crayon Style"
Junji Ito,00028-Junji Ito.jpg,Artstyle,Fallout Wasteland,fallout,"a femal warrior in dystopian postapocalyptic fallout wasteland, <lora:ito-style-xl:1>","",,"Junji Ito Style (XL)"
PS1,00029-PS1.jpg,Game,Fallout Wasteland,fallout,"a femal warrior in dystopian postapocalyptic fallout wasteland, <lora:ps1-xl:1> ps1 style","",,"PS1 Graphics SDXL"
Voxel,00030-Voxel.jpg,Game,Fallout Wasteland,fallout,"a femal warrior in dystopian postapocalyptic fallout wasteland, <lora:voxel-xl:1> voxel style","",,"Voxel XL"
Moebius,00044-Moebius.jpg,Artstyle,Fallout Wasteland,fallout,"<lora:moebius-xl:1> Moebius (Jean Giraud) Style page, a femal warrior in dystopian postapocalyptic fallout wasteland","",,"Moebius (Jean Giraud) Style"
Pablo Picasso,00045-Pablo Picasso.jpg,Artstyle,Fallout Wasteland,fallout,"<lora:picasso:1> p1c4ss0, a abstract painting of a femal warrior in dystopian postapocalyptic fallout wasteland, by pablo picasso, Cubism","",,"Pablo Picasso ∞ SD XL 1.0"
Van Gogh,00046-Van Gogh.jpg,Artstyle,Fallout Wasteland,fallout,"v0ng44g, p14nt1ng, a painting of a femal warrior in dystopian postapocalyptic fallout wasteland, by van Gogh <lora:vangogh:1>","",,"VanGoghBrushwork SD XL 1.0"
Fx Monster (Meatsack),00047-Fx Monster (Meatsack).jpg,Miscellaneous,Fallout Wasteland,fallout,"a femal warrior in dystopian postapocalyptic fallout wasteland, <lora:fx-monsters-xl-meatsack:0.7> fx-monsters-xl-meatsack, creature, monster","",,"Fx-Monsters Meatsack"
LEGO BrickHeadz,00048-LEGO BrickHeadz.jpg,Miscellaneous,Fallout Wasteland,fallout,"LEGO BrickHeadz, a femal warrior in dystopian postapocalyptic fallout wasteland, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
LEGO Creator,00049-LEGO Creator.jpg,Miscellaneous,Fallout Wasteland,fallout,"LEGO Creator, a femal warrior in dystopian postapocalyptic fallout wasteland, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
LEGO MiniFig,00050-LEGO MiniFig.jpg,Miscellaneous,Fallout Wasteland,fallout,"LEGO MiniFig, a femal warrior in dystopian postapocalyptic fallout wasteland, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
Monochrome Surrealism,00056-Monochrome Surrealism.jpg,Artstyle,Fallout Wasteland,fallout,"<lora:Jorg_Karg_Monochrome_Surrealism_SDXL:1> jorg karg, a femal warrior in dystopian postapocalyptic fallout wasteland","",,"Jorg Karg (Monochrome Surrealism) [SDXL]"
Psychedelic Noir,00057-Psychedelic Noir.jpg,Artstyle,Fallout Wasteland,fallout,"<lora:Psychedelic_Noir__sdxl:1> a femal warrior in dystopian postapocalyptic fallout wasteland","",,"Psychedelic Noir"
Soviet Poster,00058-Soviet Poster.jpg,Artstyle,Fallout Wasteland,fallout,"<lora:Soviet-poster:1> soviet poster, a femal warrior in dystopian postapocalyptic fallout wasteland","",,"Soviet poster XL"
Fisheye,00059-Fisheye.jpg,Photo,Fallout Wasteland,fallout,"(Fisheye-shot photograph:1.3) of a femal warrior in dystopian postapocalyptic fallout wasteland","ugly, deformed, noisy, blurry, low contrast",,""
Flash,00060-Flash.jpg,Photo,Fallout Wasteland,fallout,"<lora:sdxl_darkflash_v6:0.8> very dark focused flash photo, a femal warrior in dystopian postapocalyptic fallout wasteland","",,"Flash Photo SDXL"
Photo Prism,00061-Photo Prism.jpg,Photo,Fallout Wasteland,fallout,"<lora:F8HAUSPRISM:1> lomo artistic starburst filter grainy film photograph portrait of a femal warrior in dystopian postapocalyptic fallout wasteland, colorful lights, psychedelic, a hologram, holography, monotones, blown out","",,"F0T0PR1ZM XL"
Neon Sign,00062-Neon Sign.jpg,Miscellaneous,Fallout Wasteland,fallout,"<lora:PE_NeonSignStyle:0.9> PENeonSign, neon Sign, glowing, colorful, a femal warrior in dystopian postapocalyptic fallout wasteland","",,"PE Neon Sign [Style]"
Least Details,00152-Add Details XL (Least Details).jpg,No style,Fallout Wasteland,fallout,"a femal warrior in dystopian postapocalyptic fallout wasteland, <lora:add-detail-xl:-3>","",,"Detail Tweaker XL"
Less Details,00153-Add Details XL (Less Details).jpg,No style,Fallout Wasteland,fallout,"a femal warrior in dystopian postapocalyptic fallout wasteland, <lora:add-detail-xl:-1>","",,"Detail Tweaker XL"
More Details,00154-Add Details XL (More Details).jpg,No style,Fallout Wasteland,fallout,"a femal warrior in dystopian postapocalyptic fallout wasteland, <lora:add-detail-xl:1>","",,"Detail Tweaker XL"
Most Details,00155-Add Details XL (Most Details).jpg,No style,Fallout Wasteland,fallout,"a femal warrior in dystopian postapocalyptic fallout wasteland, <lora:add-detail-xl:3>","",,"Detail Tweaker XL"
3D Model,00156-3D Model.jpg,Stability's AI,Fallout Wasteland,fallout,"professional 3d model a femal warrior in dystopian postapocalyptic fallout wasteland . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,00157-Analog Film.jpg,Stability's AI,Fallout Wasteland,fallout,"analog film photo a femal warrior in dystopian postapocalyptic fallout wasteland . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,00158-Anime (SDXL).jpg,Stability's AI,Fallout Wasteland,fallout,"anime artwork a femal warrior in dystopian postapocalyptic fallout wasteland . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,00159-Cinematic.jpg,Stability's AI,Fallout Wasteland,fallout,"cinematic film still a femal warrior in dystopian postapocalyptic fallout wasteland . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,00160-Comic Book.jpg,Stability's AI,Fallout Wasteland,fallout,"comic a femal warrior in dystopian postapocalyptic fallout wasteland . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,00161-Craft Clay.jpg,Stability's AI,Fallout Wasteland,fallout,"play-doh style a femal warrior in dystopian postapocalyptic fallout wasteland . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Digital Art,00162-Digital Art.jpg,Stability's AI,Fallout Wasteland,fallout,"concept art a femal warrior in dystopian postapocalyptic fallout wasteland . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",,""
Enhance,00163-Enhance.jpg,Stability's AI,Fallout Wasteland,fallout,"breathtaking a femal warrior in dystopian postapocalyptic fallout wasteland . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",,""
Fantasy Art,00164-Fantasy Art.jpg,Stability's AI,Fallout Wasteland,fallout,"ethereal fantasy concept art of  a femal warrior in dystopian postapocalyptic fallout wasteland . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",,""
Isometric Style,00165-Isometric Style.jpg,Stability's AI,Fallout Wasteland,fallout,"isometric style a femal warrior in dystopian postapocalyptic fallout wasteland . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",,""
Line Art,00166-Line Art.jpg,Stability's AI,Fallout Wasteland,fallout,"line art drawing a femal warrior in dystopian postapocalyptic fallout wasteland . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic",,""
Lowpoly,00167-Lowpoly.jpg,Stability's AI,Fallout Wasteland,fallout,"low-poly style a femal warrior in dystopian postapocalyptic fallout wasteland . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Neon Punk,00168-Neon Punk.jpg,Stability's AI,Fallout Wasteland,fallout,"neonpunk style a femal warrior in dystopian postapocalyptic fallout wasteland . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Origami,00169-Origami.jpg,Stability's AI,Fallout Wasteland,fallout,"origami style a femal warrior in dystopian postapocalyptic fallout wasteland . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Photographic,00170-Photographic.jpg,Stability's AI,Fallout Wasteland,fallout,"cinematic photo a femal warrior in dystopian postapocalyptic fallout wasteland . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly",,""
Pixel Art,00171-Pixel Art.jpg,Stability's AI,Fallout Wasteland,fallout,"pixel-art a femal warrior in dystopian postapocalyptic fallout wasteland . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic",,""
Texture,00172-Texture.jpg,Stability's AI,Fallout Wasteland,fallout,"texture a femal warrior in dystopian postapocalyptic fallout wasteland top down close-up","ugly, deformed, noisy, blurry",,""
Advertising,00173-Advertising.jpg,Ads,Fallout Wasteland,fallout,"Advertising poster style a femal warrior in dystopian postapocalyptic fallout wasteland . Professional, modern, product-focused, commercial, eye-catching, highly detailed","noisy, blurry, amateurish, sloppy, unattractive",,""
