title,filename,category,subject,id,prompt,negativePrompt,lora
Least Details,00456-Add Details XL (Least Details).jpg,No style,Viking Warrior,vikings,"portrait of a viking warrior man with warrior face paintings and blood, <lora:add-detail-xl:-3>","",,"Detail Tweaker XL"
Less Details,00457-Add Details XL (Less Details).jpg,No style,Viking Warrior,vikings,"portrait of a viking warrior man with warrior face paintings and blood, <lora:add-detail-xl:-1>","",,"Detail Tweaker XL"
More Details,00458-Add Details XL (More Details).jpg,No style,Viking Warrior,vikings,"portrait of a viking warrior man with warrior face paintings and blood, <lora:add-detail-xl:1>","",,"Detail Tweaker XL"
Most Details,00459-Add Details XL (Most Details).jpg,No style,Viking Warrior,vikings,"portrait of a viking warrior man with warrior face paintings and blood, <lora:add-detail-xl:3>","",,"Detail Tweaker XL"
3D Model,00460-3D Model.jpg,Stability's AI,Viking Warrior,vikings,"professional 3d model portrait of a viking warrior man with warrior face paintings and blood . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,00461-Analog Film.jpg,Stability's AI,Viking Warrior,vikings,"analog film photo portrait of a viking warrior man with warrior face paintings and blood . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,00462-Anime (SDXL).jpg,Stability's AI,Viking Warrior,vikings,"anime artwork portrait of a viking warrior man with warrior face paintings and blood . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,00463-Cinematic.jpg,Stability's AI,Viking Warrior,vikings,"cinematic film still portrait of a viking warrior man with warrior face paintings and blood . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,00464-Comic Book.jpg,Stability's AI,Viking Warrior,vikings,"comic portrait of a viking warrior man with warrior face paintings and blood . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,00465-Craft Clay.jpg,Stability's AI,Viking Warrior,vikings,"play-doh style portrait of a viking warrior man with warrior face paintings and blood . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
