title,filename,category,subject,id,prompt,negativePrompt,lora
3D Model,20230906210813-3D Model.jpg,Stability's AI,Island,island,"professional 3d model tropical island with clouds . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,20230906210829-Analog Film.jpg,Stability's AI,Island,island,"analog film photo tropical island with clouds . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,20230906210844-Anime (SDXL).jpg,Stability's AI,Island,island,"anime artwork tropical island with clouds . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,20230906210900-Cinematic.jpg,Stability's AI,Island,island,"cinematic film still tropical island with clouds . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,20230906210915-Comic Book.jpg,Stability's AI,Island,island,"comic tropical island with clouds . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,20230906210930-Craft Clay.jpg,Stability's AI,Island,island,"play-doh style tropical island with clouds . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Digital Art,20230906210945-Digital Art.jpg,Stability's AI,Island,island,"concept art tropical island with clouds . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",,""
Enhance,20230906211000-Enhance.jpg,Stability's AI,Island,island,"breathtaking tropical island with clouds . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",,""
Fantasy Art,20230906211016-Fantasy Art.jpg,Stability's AI,Island,island,"ethereal fantasy concept art of  tropical island with clouds . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",,""
Isometric Style,20230906211032-Isometric Style.jpg,Stability's AI,Island,island,"isometric style tropical island with clouds . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",,""
