title,filename,category,subject,id,prompt,negativePrompt,lora
3D Model,20230831191142-3D Model.jpg,Stability's AI,Supercar,supercar,"professional 3d model a supercar on the road . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,20230831191159-Analog Film.jpg,Stability's AI,Supercar,supercar,"analog film photo a supercar on the road . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,20230831191216-Anime (SDXL).jpg,Stability's AI,Supercar,supercar,"anime artwork a supercar on the road . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,20230831191233-Cinematic.jpg,Stability's AI,Supercar,supercar,"cinematic film still a supercar on the road . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,20230831191250-Comic Book.jpg,Stability's AI,Supercar,supercar,"comic a supercar on the road . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,20230831191307-Craft Clay.jpg,Stability's AI,Supercar,supercar,"play-doh style a supercar on the road . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Digital Art,20230831191324-Digital Art.jpg,Stability's AI,Supercar,supercar,"concept art a supercar on the road . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",,""
Enhance,20230831191341-Enhance.jpg,Stability's AI,Supercar,supercar,"breathtaking a supercar on the road . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",,""
Fantasy Art,20230831191358-Fantasy Art.jpg,Stability's AI,Supercar,supercar,"ethereal fantasy concept art of  a supercar on the road . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",,""
Isometric Style,20230831191415-Isometric Style.jpg,Stability's AI,Supercar,supercar,"isometric style a supercar on the road . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",,""
Line Art,20230831191432-Line Art.jpg,Stability's AI,Supercar,supercar,"line art drawing a supercar on the road . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic",,""
Lowpoly,20230831191449-Lowpoly.jpg,Stability's AI,Supercar,supercar,"low-poly style a supercar on the road . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Neon Punk,20230831191506-Neon Punk.jpg,Stability's AI,Supercar,supercar,"neonpunk style a supercar on the road . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Origami,20230831191523-Origami.jpg,Stability's AI,Supercar,supercar,"origami style a supercar on the road . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Photographic,20230831191540-Photographic.jpg,Stability's AI,Supercar,supercar,"cinematic photo a supercar on the road . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly",,""
Pixel Art,20230831191557-Pixel Art.jpg,Stability's AI,Supercar,supercar,"pixel-art a supercar on the road . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic",,""
Texture,20230831191613-Texture.jpg,Stability's AI,Supercar,supercar,"texture a supercar on the road top down close-up","ugly, deformed, noisy, blurry",,""
Advertising,20230831191630-Advertising.jpg,Ads,Supercar,supercar,"Advertising poster style a supercar on the road . Professional, modern, product-focused, commercial, eye-catching, highly detailed","noisy, blurry, amateurish, sloppy, unattractive",,""
Food Photography,20230831191647-Food Photography.jpg,Ads,Supercar,supercar,"Food photography style a supercar on the road . Appetizing, professional, culinary, high-resolution, commercial, highly detailed","unappetizing, sloppy, unprofessional, noisy, blurry",,""
Real Estate,20230831191704-Real Estate.jpg,Ads,Supercar,supercar,"Real estate photography style a supercar on the road . Professional, inviting, well-lit, high-resolution, property-focused, commercial, highly detailed","dark, blurry, unappealing, noisy, unprofessional",,""
Abstract,20230831191721-Abstract.jpg,Artstyle,Supercar,supercar,"Abstract style a supercar on the road . Non-representational, colors and shapes, expression of feelings, imaginative, highly detailed","realistic, photographic, figurative, concrete",,""
Cubist,20230831191738-Cubist.jpg,Artstyle,Supercar,supercar,"Cubist artwork a supercar on the road . Geometric shapes, abstract, innovative, revolutionary","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
Graffiti,20230831191755-Graffiti.jpg,Artstyle,Supercar,supercar,"Graffiti style a supercar on the road . Street art, vibrant, urban, detailed, tag, mural","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic",,""
Hyperrealism,20230831191812-Hyperrealism.jpg,Artstyle,Supercar,supercar,"Hyperrealistic art a supercar on the road . Extremely high-resolution details, photographic, realism pushed to extreme, fine texture, incredibly lifelike","simplified, abstract, unrealistic, impressionistic, low resolution",,""
Impressionist,20230831191829-Impressionist.jpg,Artstyle,Supercar,supercar,"Impressionist painting a supercar on the road . Loose brushwork, vibrant color, light and shadow play, captures feeling over form","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",,""
Pointillism,20230831191846-Pointillism.jpg,Artstyle,Supercar,supercar,"Pointillism style a supercar on the road . Composed entirely of small, distinct dots of color, vibrant, highly detailed","line drawing, smooth shading, large color fields, simplistic",,""
Pop Art,20230831191903-Pop Art.jpg,Artstyle,Supercar,supercar,"Pop Art style a supercar on the road . Bright colors, bold outlines, popular culture themes, ironic or kitsch","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, minimalist",,""
