title,filename,category,subject,id,prompt,negativePrompt,lora
Moebius,00016-Moebius.jpg,Artstyle,City Skyline,city,"<lora:moebius-xl:1> Moebius (Jean Giraud) Style page, skyline city, at sunset","",,"Moebius (Jean Giraud) Style"
Pablo Picasso,00017-Pablo Picasso.jpg,Artstyle,City Skyline,city,"<lora:picasso:1> p1c4ss0, a abstract painting of skyline city, at sunset, by pablo picasso, Cubism","",,"Pablo Picasso ∞ SD XL 1.0"
Van Gogh,00018-Van Gogh.jpg,Artstyle,City Skyline,city,"v0ng44g, p14nt1ng, a painting of skyline city, at sunset, by van Gogh <lora:vangogh:1>","",,"VanGoghBrushwork SD XL 1.0"
Fx Monster (Meatsack),00019-Fx Monster (Meatsack).jpg,Miscellaneous,City Skyline,city,"skyline city, at sunset, <lora:fx-monsters-xl-meatsack:0.7> fx-monsters-xl-meatsack, creature, monster","",,"Fx-Monsters Meatsack"
LEGO BrickHeadz,00020-LEGO BrickHeadz.jpg,Miscellaneous,City Skyline,city,"LEGO BrickHeadz, skyline city, at sunset, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
LEGO Creator,00021-LEGO Creator.jpg,Miscellaneous,City Skyline,city,"LEGO Creator, skyline city, at sunset, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
LEGO MiniFig,00022-LEGO MiniFig.jpg,Miscellaneous,City Skyline,city,"LEGO MiniFig, skyline city, at sunset, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
Monochrome Surrealism,00028-Monochrome Surrealism.jpg,Artstyle,City Skyline,city,"<lora:Jorg_Karg_Monochrome_Surrealism_SDXL:1> jorg karg, skyline city, at sunset","",,"Jorg Karg (Monochrome Surrealism) [SDXL]"
Psychedelic Noir,00029-Psychedelic Noir.jpg,Artstyle,City Skyline,city,"<lora:Psychedelic_Noir__sdxl:1> skyline city, at sunset","",,"Psychedelic Noir"
Soviet Poster,00030-Soviet Poster.jpg,Artstyle,City Skyline,city,"<lora:Soviet-poster:1> soviet poster, skyline city, at sunset","",,"Soviet poster XL"
Fisheye,00031-Fisheye.jpg,Photo,City Skyline,city,"(Fisheye-shot photograph:1.3) of skyline city, at sunset","ugly, deformed, noisy, blurry, low contrast",,""
Flash,00032-Flash.jpg,Photo,City Skyline,city,"<lora:sdxl_darkflash_v6:0.8> very dark focused flash photo, skyline city, at sunset","",,"Flash Photo SDXL"
Photo Prism,00033-Photo Prism.jpg,Photo,City Skyline,city,"<lora:F8HAUSPRISM:1> lomo artistic starburst filter grainy film photograph portrait of skyline city, at sunset, colorful lights, psychedelic, a hologram, holography, monotones, blown out","",,"F0T0PR1ZM XL"
Neon Sign,00034-Neon Sign.jpg,Miscellaneous,City Skyline,city,"<lora:PE_NeonSignStyle:0.9> PENeonSign, neon Sign, glowing, colorful, skyline city, at sunset","",,"PE Neon Sign [Style]"
