title,filename,category,subject,id,prompt,negativePrompt,lora
Moebius,00072-Moebius.jpg,Artstyle,Éclair,pastry,"<lora:moebius-xl:1> Moebius (Jean Giraud) Style page, a single caramel éclair on a fancy plate, fine pastry","",,"Moebius (Jean Giraud) Style"
Pablo Picasso,00073-Pablo Picasso.jpg,Artstyle,Éclair,pastry,"<lora:picasso:1> p1c4ss0, a abstract painting of a single caramel éclair on a fancy plate, fine pastry, by pablo picasso, Cubism","",,"Pablo Picasso ∞ SD XL 1.0"
Van Gogh,00074-Van Gogh.jpg,Artstyle,Éclair,pastry,"v0ng44g, p14nt1ng, a painting of a single caramel éclair on a fancy plate, fine pastry, by van Gogh <lora:vangogh:1>","",,"VanGoghBrushwork SD XL 1.0"
Fx Monster (Meatsack),00075-Fx Monster (Meatsack).jpg,Miscellaneous,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:fx-monsters-xl-meatsack:0.7> fx-monsters-xl-meatsack, creature, monster","",,"Fx-Monsters Meatsack"
LEGO BrickHeadz,00076-LEGO BrickHeadz.jpg,Miscellaneous,Éclair,pastry,"LEGO BrickHeadz, a single caramel éclair on a fancy plate, fine pastry, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
LEGO Creator,00077-LEGO Creator.jpg,Miscellaneous,Éclair,pastry,"LEGO Creator, a single caramel éclair on a fancy plate, fine pastry, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
LEGO MiniFig,00078-LEGO MiniFig.jpg,Miscellaneous,Éclair,pastry,"LEGO MiniFig, a single caramel éclair on a fancy plate, fine pastry, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
Monochrome Surrealism,00084-Monochrome Surrealism.jpg,Artstyle,Éclair,pastry,"<lora:Jorg_Karg_Monochrome_Surrealism_SDXL:1> jorg karg, a single caramel éclair on a fancy plate, fine pastry","",,"Jorg Karg (Monochrome Surrealism) [SDXL]"
Psychedelic Noir,00085-Psychedelic Noir.jpg,Artstyle,Éclair,pastry,"<lora:Psychedelic_Noir__sdxl:1> a single caramel éclair on a fancy plate, fine pastry","",,"Psychedelic Noir"
Soviet Poster,00086-Soviet Poster.jpg,Artstyle,Éclair,pastry,"<lora:Soviet-poster:1> soviet poster, a single caramel éclair on a fancy plate, fine pastry","",,"Soviet poster XL"
Fisheye,00087-Fisheye.jpg,Photo,Éclair,pastry,"(Fisheye-shot photograph:1.3) of a single caramel éclair on a fancy plate, fine pastry","ugly, deformed, noisy, blurry, low contrast",,""
Flash,00088-Flash.jpg,Photo,Éclair,pastry,"<lora:sdxl_darkflash_v6:0.8> very dark focused flash photo, a single caramel éclair on a fancy plate, fine pastry","",,"Flash Photo SDXL"
Photo Prism,00089-Photo Prism.jpg,Photo,Éclair,pastry,"<lora:F8HAUSPRISM:1> lomo artistic starburst filter grainy film photograph portrait of a single caramel éclair on a fancy plate, fine pastry, colorful lights, psychedelic, a hologram, holography, monotones, blown out","",,"F0T0PR1ZM XL"
Neon Sign,00090-Neon Sign.jpg,Miscellaneous,Éclair,pastry,"<lora:PE_NeonSignStyle:0.9> PENeonSign, neon Sign, glowing, colorful, a single caramel éclair on a fancy plate, fine pastry","",,"PE Neon Sign [Style]"
Least Details,00304-Add Details XL (Least Details).jpg,No style,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:add-detail-xl:-3>","",,"Detail Tweaker XL"
Less Details,00305-Add Details XL (Less Details).jpg,No style,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:add-detail-xl:-1>","",,"Detail Tweaker XL"
More Details,00306-Add Details XL (More Details).jpg,No style,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:add-detail-xl:1>","",,"Detail Tweaker XL"
Most Details,00307-Add Details XL (Most Details).jpg,No style,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:add-detail-xl:3>","",,"Detail Tweaker XL"
3D Model,00308-3D Model.jpg,Stability's AI,Éclair,pastry,"professional 3d model a single caramel éclair on a fancy plate, fine pastry . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,00309-Analog Film.jpg,Stability's AI,Éclair,pastry,"analog film photo a single caramel éclair on a fancy plate, fine pastry . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,00310-Anime (SDXL).jpg,Stability's AI,Éclair,pastry,"anime artwork a single caramel éclair on a fancy plate, fine pastry . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,00311-Cinematic.jpg,Stability's AI,Éclair,pastry,"cinematic film still a single caramel éclair on a fancy plate, fine pastry . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,00312-Comic Book.jpg,Stability's AI,Éclair,pastry,"comic a single caramel éclair on a fancy plate, fine pastry . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,00313-Craft Clay.jpg,Stability's AI,Éclair,pastry,"play-doh style a single caramel éclair on a fancy plate, fine pastry . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Digital Art,00314-Digital Art.jpg,Stability's AI,Éclair,pastry,"concept art a single caramel éclair on a fancy plate, fine pastry . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",,""
Enhance,00315-Enhance.jpg,Stability's AI,Éclair,pastry,"breathtaking a single caramel éclair on a fancy plate, fine pastry . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",,""
Fantasy Art,00316-Fantasy Art.jpg,Stability's AI,Éclair,pastry,"ethereal fantasy concept art of  a single caramel éclair on a fancy plate, fine pastry . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",,""
Isometric Style,00317-Isometric Style.jpg,Stability's AI,Éclair,pastry,"isometric style a single caramel éclair on a fancy plate, fine pastry . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",,""
Line Art,00318-Line Art.jpg,Stability's AI,Éclair,pastry,"line art drawing a single caramel éclair on a fancy plate, fine pastry . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic",,""
Lowpoly,00319-Lowpoly.jpg,Stability's AI,Éclair,pastry,"low-poly style a single caramel éclair on a fancy plate, fine pastry . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Neon Punk,00320-Neon Punk.jpg,Stability's AI,Éclair,pastry,"neonpunk style a single caramel éclair on a fancy plate, fine pastry . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Origami,00321-Origami.jpg,Stability's AI,Éclair,pastry,"origami style a single caramel éclair on a fancy plate, fine pastry . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Photographic,00322-Photographic.jpg,Stability's AI,Éclair,pastry,"cinematic photo a single caramel éclair on a fancy plate, fine pastry . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly",,""
Pixel Art,00323-Pixel Art.jpg,Stability's AI,Éclair,pastry,"pixel-art a single caramel éclair on a fancy plate, fine pastry . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic",,""
Texture,00324-Texture.jpg,Stability's AI,Éclair,pastry,"texture a single caramel éclair on a fancy plate, fine pastry top down close-up","ugly, deformed, noisy, blurry",,""
Advertising,00325-Advertising.jpg,Ads,Éclair,pastry,"Advertising poster style a single caramel éclair on a fancy plate, fine pastry . Professional, modern, product-focused, commercial, eye-catching, highly detailed","noisy, blurry, amateurish, sloppy, unattractive",,""
Automotive,00326-Automotive.jpg,Ads,Éclair,pastry,"Automotive advertisement style a single caramel éclair on a fancy plate, fine pastry . Sleek, dynamic, professional, commercial, vehicle-focused, high-resolution, highly detailed","noisy, blurry, unattractive, sloppy, unprofessional",,""
Corporate,00327-Corporate.jpg,Ads,Éclair,pastry,"Corporate branding style a single caramel éclair on a fancy plate, fine pastry . Professional, clean, modern, sleek, minimalist, business-oriented, highly detailed","noisy, blurry, grungy, sloppy, cluttered, disorganized",,""
Fashion,00328-Fashion.jpg,Ads,Éclair,pastry,"Fashion editorial style a single caramel éclair on a fancy plate, fine pastry . High fashion, trendy, stylish, editorial, magazine style, professional, highly detailed","outdated, blurry, noisy, unattractive, sloppy",,""
Food Photography,00329-Food Photography.jpg,Ads,Éclair,pastry,"Food photography style a single caramel éclair on a fancy plate, fine pastry . Appetizing, professional, culinary, high-resolution, commercial, highly detailed","unappetizing, sloppy, unprofessional, noisy, blurry",,""
Luxury,00330-Luxury.jpg,Ads,Éclair,pastry,"Luxury product style a single caramel éclair on a fancy plate, fine pastry . Elegant, sophisticated, high-end, luxurious, professional, highly detailed","cheap, noisy, blurry, unattractive, amateurish",,""
Real Estate,00331-Real Estate.jpg,Ads,Éclair,pastry,"Real estate photography style a single caramel éclair on a fancy plate, fine pastry . Professional, inviting, well-lit, high-resolution, property-focused, commercial, highly detailed","dark, blurry, unappealing, noisy, unprofessional",,""
