title,filename,category,subject,id,prompt,negativePrompt,lora
Moebius,00000-Moebius.jpg,Artstyle,Apple,apple,"<lora:moebius-xl:1> Moebius (Jean Giraud) Style page, a basket of apples","",,"Moebius (Jean Giraud) Style"
Monochrome Surrealism,00000-Monochrome Surrealism.jpg,Artstyle,Apple,apple,"<lora:Jorg_Karg_Monochrome_Surrealism_SDXL:1> jorg karg, a basket of apples","",,"Jorg Karg (Monochrome Surrealism) [SDXL]"
Pablo Picasso,00001-Pablo Picasso.jpg,Artstyle,Apple,apple,"<lora:picasso:1> p1c4ss0, a abstract painting of a basket of apples, by pablo picasso, Cubism","",,"Pablo Picasso ∞ SD XL 1.0"
Psychedelic Noir,00001-Psychedelic Noir.jpg,Artstyle,Apple,apple,"<lora:Psychedelic_Noir__sdxl:1> a basket of apples","",,"Psychedelic Noir"
Soviet Poster,00002-Soviet Poster.jpg,Artstyle,Apple,apple,"<lora:Soviet-poster:1> soviet poster, a basket of apples","",,"Soviet poster XL"
Van Gogh,00002-Van Gogh.jpg,Artstyle,Apple,apple,"v0ng44g, p14nt1ng, a painting of a basket of apples, by van Gogh <lora:vangogh:1>","",,"VanGoghBrushwork SD XL 1.0"
Fisheye,00003-Fisheye.jpg,Photo,Apple,apple,"(Fisheye-shot photograph:1.3) of a basket of apples","ugly, deformed, noisy, blurry, low contrast",,""
Flash,00004-Flash.jpg,Photo,Apple,apple,"<lora:sdxl_darkflash_v6:0.8> very dark focused flash photo, a basket of apples","",,"Flash Photo SDXL"
Fx Monster (Meatsack),00004-Fx Monster (Meatsack).jpg,Miscellaneous,Apple,apple,"a basket of apples, <lora:fx-monsters-xl-meatsack:0.7> fx-monsters-xl-meatsack, creature, monster","",,"Fx-Monsters Meatsack"
Photo Prism,00005-Photo Prism.jpg,Photo,Apple,apple,"<lora:F8HAUSPRISM:1> lomo artistic starburst filter grainy film photograph portrait of a basket of apples, colorful lights, psychedelic, a hologram, holography, monotones, blown out","",,"F0T0PR1ZM XL"
LEGO BrickHeadz,00006-LEGO BrickHeadz.jpg,Miscellaneous,Apple,apple,"LEGO BrickHeadz, a basket of apples, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
Neon Sign,00006-Neon Sign.jpg,Miscellaneous,Apple,apple,"<lora:PE_NeonSignStyle:0.9> PENeonSign, neon Sign, glowing, colorful, a basket of apples","",,"PE Neon Sign [Style]"
LEGO Creator,00007-LEGO Creator.jpg,Miscellaneous,Apple,apple,"LEGO Creator, a basket of apples, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
LEGO MiniFig,00008-LEGO MiniFig.jpg,Miscellaneous,Apple,apple,"LEGO MiniFig, a basket of apples, <lora:lego-xl:0.8>","",,"LeLo - LEGO LoRA for XL & SD1.5"
3D Model,20230831183451-3D Model.jpg,Stability's AI,Apple,apple,"professional 3d model a basket of apples . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",,""
Analog Film,20230831183506-Analog Film.jpg,Stability's AI,Apple,apple,"analog film photo a basket of apples . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",,""
Anime,20230831183522-Anime (SDXL).jpg,Stability's AI,Apple,apple,"anime artwork a basket of apples . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",,""
Cinematic,20230831183538-Cinematic.jpg,Stability's AI,Apple,apple,"cinematic film still a basket of apples . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",,""
Comic Book,20230831183555-Comic Book.jpg,Stability's AI,Apple,apple,"comic a basket of apples . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",,""
Craft Clay,20230831183612-Craft Clay.jpg,Stability's AI,Apple,apple,"play-doh style a basket of apples . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",,""
Digital Art,20230831183628-Digital Art.jpg,Stability's AI,Apple,apple,"concept art a basket of apples . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",,""
Enhance,20230831183645-Enhance.jpg,Stability's AI,Apple,apple,"breathtaking a basket of apples . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",,""
Fantasy Art,20230831183702-Fantasy Art.jpg,Stability's AI,Apple,apple,"ethereal fantasy concept art of  a basket of apples . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",,""
Isometric Style,20230831183719-Isometric Style.jpg,Stability's AI,Apple,apple,"isometric style a basket of apples . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",,""
